date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:04	100/100	---M-Z	200	added ('OK')	text/plain	etag:%229a3d3e9c70f900704dff9b5978bdf1b1%22	https://triangle-part-483495-f87670c2e.framer.app/robots.txt		(from )
13:38:04	530365/530365	---M-Z	200	added ('OK')	text/html	etag:%22d6ae9b5d3ff22196c9a43b5798bced3f%22	https://triangle-part-483495-f87670c2e.framer.app/	C:/My%20Web%20Sites/workneering%202/triangle-part-483495-f87670c2e.framer.app/index.html	(from )
13:38:05	90/90	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2003%20May%202023%2010:38:04%20GMT	https://framerusercontent.com/modules/kkjetyaxju5PqrpvbC5a/ga077Wy6vZHyuKRg7upY/assets/dXrFb9Rdp7kDTcrUyuKSKphJXk.png	C:/My%20Web%20Sites/workneering%202/framerusercontent.com/modules/kkjetyaxju5PqrpvbC5a/ga077Wy6vZHyuKRg7upY/assets/dXrFb9Rdp7kDTcrUyuKSKphJXk.0.delayed	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:05	3604/3604	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202023%2010:38:04%20GMT	https://framerusercontent.com/images/dXrFb9Rdp7kDTcrUyuKSKphJXk.png	C:/My%20Web%20Sites/workneering%202/framerusercontent.com/images/dXrFb9Rdp7kDTcrUyuKSKphJXk.png	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:06	30188/30188	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202023%2010:38:05%20GMT	https://framerusercontent.com/images/kAAKJoTVXLpmoDwOUM1wrHgRVt4.png	C:/My%20Web%20Sites/workneering%202/framerusercontent.com/images/kAAKJoTVXLpmoDwOUM1wrHgRVt4.png	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:07	16497/16497	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202023%2010:38:06%20GMT	https://framerusercontent.com/images/4PEHXkdzEpQnOSplg5ckWfNfPQ.png?scale-down-to=1024	C:/My%20Web%20Sites/workneering%202/framerusercontent.com/images/4PEHXkdzEpQnOSplg5ckWfNfPQbf23.png	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:08	2211/2211	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202023%2010:38:06%20GMT	https://framerusercontent.com/images/2pGEA3x8KdYaHG0es1D4QgCnybI.png?scale-down-to=512	C:/My%20Web%20Sites/workneering%202/framerusercontent.com/images/2pGEA3x8KdYaHG0es1D4QgCnybI17f5.png	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:08	172239/172239	---M-Z	200	added ('OK')	text/html	etag:%2293972253e9c60a9b04532981a63a0e76%22	https://triangle-part-483495-f87670c2e.framer.app/blog	C:/My%20Web%20Sites/workneering%202/triangle-part-483495-f87670c2e.framer.app/blog.html	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:08	162703/162703	---M-Z	200	added ('OK')	text/html	etag:%22f265f77c3a7f5c0c477497c7f12e9334%22	https://triangle-part-483495-f87670c2e.framer.app/how-it-works	C:/My%20Web%20Sites/workneering%202/triangle-part-483495-f87670c2e.framer.app/how-it-works.html	(from https://triangle-part-483495-f87670c2e.framer.app/)
13:38:08	175142/175142	---M-Z	200	added ('OK')	text/html	etag:%22d153a2b3d38f6c534a86bd4b2c58878a%22	https://triangle-part-483495-f87670c2e.framer.app/why-us	C:/My%20Web%20Sites/workneering%202/triangle-part-483495-f87670c2e.framer.app/why-us.html	(from https://triangle-part-483495-f87670c2e.framer.app/)
